,station_list,lon,lat
1,반석(칠성대)역,127.3146,36.39212
2,지족(침신대)역,127.3195,36.38411
3,노은역,127.3178,36.37415
4,월드컵경기장(노은도매시장),127.3178,36.36687
5,현충원(한밭대)역,127.3215,36.35903
6,구암역,127.3306,36.35668
7,유성온천(충남대-목원대)역,127.3416,36.3537
8,갑천역,127.3546,36.35468
9,월평(KAIST)역,127.3644,36.35827
10,갈마역,127.3728,36.35755
11,정부청사역,127.3812,36.35744
12,시청역,127.3867,36.35167
13,탄방역,127.3846,36.34552
13,용문역,127.3933,36.33825
14,오룡역,127.4051,36.32857
15,서대전네거리역,127.4125,36.32242
16,중구청역,127.4196,36.32483
17,중앙로역,127.4258,36.32866
18,대전역,127.4342,36.33234
19,대동(대전대)역,127.443,36.32945
20,신흥역,127.4485,36.31976
21,판암(대전대)역,127.4583,36.3169
