행정구역(시군구)별,항목,2019. 03 월
서울특별시,총전입[명],135592
서울특별시,총전출[명],137242
서울특별시,순이동[명],-1650
서울특별시,시도내이동-시군구내[명],37770
서울특별시,시도내이동-시군구간 전입[명],51496
서울특별시,시도내이동-시군구간 전출[명],51496
서울특별시,시도간전입[명],46326
서울특별시,시도간전출[명],47976
부산광역시,총전입[명],36425
부산광역시,총전출[명],38345
부산광역시,순이동[명],-1920
부산광역시,시도내이동-시군구내[명],10605
부산광역시,시도내이동-시군구간 전입[명],15203
부산광역시,시도내이동-시군구간 전출[명],15203
부산광역시,시도간전입[명],10617
부산광역시,시도간전출[명],12537
대구광역시,총전입[명],25283
대구광역시,총전출[명],27708
대구광역시,순이동[명],-2425
대구광역시,시도내이동-시군구내[명],8313
대구광역시,시도내이동-시군구간 전입[명],9541
대구광역시,시도내이동-시군구간 전출[명],9541
대구광역시,시도간전입[명],7429
대구광역시,시도간전출[명],9854
인천광역시,총전입[명],37561
인천광역시,총전출[명],37659
인천광역시,순이동[명],-98
인천광역시,시도내이동-시군구내[명],13415
인천광역시,시도내이동-시군구간 전입[명],11104
인천광역시,시도내이동-시군구간 전출[명],11104
인천광역시,시도간전입[명],13042
인천광역시,시도간전출[명],13140
광주광역시,총전입[명],19595
광주광역시,총전출[명],19992
광주광역시,순이동[명],-397
광주광역시,시도내이동-시군구내[명],6825
광주광역시,시도내이동-시군구간 전입[명],6382
광주광역시,시도내이동-시군구간 전출[명],6382
광주광역시,시도간전입[명],6388
광주광역시,시도간전출[명],6785
대전광역시,총전입[명],18653
대전광역시,총전출[명],19846
대전광역시,순이동[명],-1193
대전광역시,시도내이동-시군구내[명],5504
대전광역시,시도내이동-시군구간 전입[명],5639
대전광역시,시도내이동-시군구간 전출[명],5639
대전광역시,시도간전입[명],7510
대전광역시,시도간전출[명],8703
울산광역시,총전입[명],13707
울산광역시,총전출[명],14893
울산광역시,순이동[명],-1186
울산광역시,시도내이동-시군구내[명],4974
울산광역시,시도내이동-시군구간 전입[명],4987
울산광역시,시도내이동-시군구간 전출[명],4987
울산광역시,시도간전입[명],3746
울산광역시,시도간전출[명],4932
세종특별자치시,총전입[명],6729
세종특별자치시,총전출[명],4653
세종특별자치시,순이동[명],2076
세종특별자치시,시도내이동-시군구내[명],2122
세종특별자치시,시도내이동-시군구간 전입[명],0
세종특별자치시,시도내이동-시군구간 전출[명],0
세종특별자치시,시도간전입[명],4607
세종특별자치시,시도간전출[명],2531
